week,population,police,crime,emp,un,ymale,white,borough
32,165242,17949.834,432,0.67210543,0.052476224,0.061927587,0.59509999,4
33,165242,17892.916,476,0.64888042,0.07153599,0.079931073,0.70178562,4
34,165242,18028.25,407,0.6170693,0.039596375,0.076757252,0.50664622,4
35,165242,19693.334,387,0.5598107,0.074968822,0.080901317,0.45303288,4
36,165242,17641.084,441,0.67203814,0.093204223,0.064676009,0.6710189,4
37,165242,19589.25,463,0.61946815,0.048535202,0.056942701,0.60346693,4
38,165242,19122.75,422,0.5898661,0.064819887,0.041043859,0.52890062,4
39,165242,19447.25,423,0.63373351,0.075470194,0.060837023,0.64059561,4
40,165242,20313.834,409,0.65515685,0.053550482,0.078798927,0.6984868,4
41,165242,19931.334,423,0.65565103,0.044320066,0.074797213,0.61219299,4
42,165242,20573.982,431,0.59586132,0.05005106,0.10858886,0.63542008,4
43,165242,20004.084,451,0.58569276,0.067632399,0.078795321,0.54889745,4
44,165242,20430.834,476,0.62099999,0.08092732,0.061041214,0.58309716,4
45,165242,20314.916,440,0.65134686,0.053150121,0.074852392,0.5993914,4
46,165242,20873.916,443,0.67812878,0.048661761,0.059563924,0.68146485,4
47,165242,20745.334,438,0.56193399,0.061620049,0.098082051,0.47795951,4
48,165242,20308.25,427,0.54636639,0.071563095,0.095700972,0.48374867,4
49,165242,20072.166,409,0.66569591,0.10711912,0.061870076,0.65846765,4
50,165242,20305.334,419,0.62107736,0.053209368,0.077471375,0.65464461,4
51,165242,18344.084,416,0.61127037,0.062272087,0.048138086,0.54790461,4
52,165242,12441.167,291,0.64698261,0.046358746,0.053459845,0.59282815,4
53,165242,16264,430,0.67298371,0.030349223,0.067010313,0.70788437,4
54,165242,20558,415,0.65208113,0.04916402,0.080692269,0.62388384,4
55,165242,20431,417,0.64195549,0.040417861,0.10630701,0.66405112,4
56,165242,20309,375,0.61938369,0.04659437,0.084517866,0.51931936,4
